,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Total Cases/1M pop,Death/1M pop,Total tests,Tests/ 1M pop,Population,Region
161,Oman,"389,344",+19,"4,259 ",,"384,525",+9,560,3,"72,811",796,"25,000,000","4,675,220","5,347,342 ",Asia
162,Qatar,"365,657",+162,677 ,,"364,059",+85,921,2,"130,229",241,"3,474,465","1,237,431","2,807,805 ",Asia
163,Zambia,"320,303",+77,"3,983 ",,"315,792",+23,528,1,"16,563",206,"3,446,017","178,198","19,338,144 ",Africa
164,Botswana,"306,324",,"2,690 ",,"303,026",,608,1,"125,561","1,103","2,026,898","830,816","2,439,647 ",Africa
165,Algeria,"265,806",+2,"6,875 ",,"178,368",+2,"80,563",6,"5,865",152,"230,861","5,094","45,319,019 ",Africa
166,Zimbabwe,"248,642",,"5,481 ",,"242,198",,963,12,"16,289",359,"2,278,641","149,281","15,264,075 ",Africa
167,Uzbekistan,"238,747",+4,"1,637 ",,"236,862",+5,248,23,"6,947",48,"1,377,915","40,092","34,368,538 ",Asia
168,Mozambique,"225,451",+11,"2,201 ",,"223,186",+6,64,13,"6,857",67,"1,318,072","40,089","32,878,321 ",Africa
169,Laos,"209,149",+301,752 ,,"7,660",,"200,737",,"27,994",101,"1,232,128","164,915","7,471,304 ",Asia
170,Iceland,"186,179",+90,120 ,+1,N/A,N/A,N/A,,"539,102",347,"2,264,004","6,555,680","345,350 ",Europe
171,Afghanistan,"179,131",+44,"7,686 ",,"162,077",+25,"9,368","1,124","4,417",190,"948,623","23,392","40,553,432 ",Asia
172,El Salvador,"162,089",,"4,129 ",,"150,662",,"7,298",8,"24,758",631,"1,950,448","297,920","6,546,890 ",North America
173,Namibia,"159,503",+192,"4,028 ",,"153,662",,"1,813",,"60,735","1,534","1,015,142","386,542","2,626,212 ",Africa
174,Trinidad and Tobago,"152,964",+584,"3,863 ",+2,"140,228",+526,"8,873",18,"108,648","2,744","722,629","513,271","1,407,891 ",North America
175,Guadeloupe,"140,130",,854 ,,"2,250",,"137,026",19,"350,105","2,134","938,039","2,343,627","400,251 ",North America
176,Jamaica,"131,544",+110,"2,987 ",+5,"84,709",+108,"43,848",,"44,066","1,001","1,026,089","343,733","2,985,133 ",North America
177,Cameroon,"119,780",,"1,927 ",,"117,791",,62,13,"4,313",69,"1,751,774","63,080","27,770,620 ",Africa
178,Malta,"93,149",+108,713 ,,"89,464",+191,"2,972",4,"209,926","1,607","1,899,855","4,281,624","443,723 ",Europe
179,Senegal,"86,023",+4,"1,966 ",,"84,044",+4,13,,"4,898",112,"1,077,543","61,357","17,561,719 ",Africa
180,Ivory Coast,"81,977",,799 ,,"81,164",,14,,"2,971",29,"1,508,044","54,661","27,588,977 ",Africa
181,Suriname,"80,008",,"1,337 ",,"49,455",,"29,216",,"134,157","2,242","236,268","396,172","596,378 ",South America
182,Barbados,"74,967",+513,430 ,,"70,254",+635,"4,283",,"260,278","1,493","664,507","2,307,100","288,027 ",North America
183,Eswatini,"71,480",+139,"1,402 ",,"69,373",+14,705,11,"60,451","1,186","1,020,084","862,696","1,182,437 ",Africa
184,Madagascar,"64,236",,"1,393 ",,"59,370",,"3,473",14,"2,214",48,"430,995","14,857","29,010,437 ",Africa
185,Sudan,"62,161",,"4,936 ",,N/A,N/A,N/A,,"1,359",108,"562,941","12,306","45,746,964 ",Africa
186,Bhutan,"59,540",+10,21 ,,"59,333",+86,186,2,"75,620",27,"2,303,348","2,925,399","787,362 ",Asia
187,Belize,"57,787",+58,676 ,,"56,744",+12,367,6,"140,598","1,645","547,512","1,332,114","411,010 ",North America
188,Syria,"55,865",+2,"3,150 ",,"52,376",+16,339,,"3,055",172,"146,269","7,998","18,288,648 ",Asia
189,Papua New Guinea,"43,843",+4,651 ,,"43,172",+3,20,7,"4,734",70,"249,149","26,902","9,261,214 ",Australia/Oceania
190,Curaçao,"42,567",,275 ,,"41,905",,387,3,"257,456","1,663","496,693","3,004,125","165,337 ",North America
191,Burundi,"41,216",+100,38 ,,N/A,N/A,N/A,,"3,285",3,"345,742","27,556","12,547,083 ",Africa
