,Country,Total Cases,Total Death,Total Recovered,Active Cases,Serious Critical,Tot cases/1M pop,Deaths/1M pop,Total tests,Tests/ 1M pop,region,population,1 Case every X ppl,1 death every X ppl,1 Test every X ppl
69,Madagascar,64089.0,1390.0,59355.0,3344.0,14.0,2213.0,48.0,415532.0,14351.0,Africa,28955799.0,452.0,20832.0,70.0
70,Barbados,62968.0,379.0,59521.0,3068.0,293.0128205128205,218638.0,1316.0,626701.0,2176038.0,North America,288001.0,5.0,760.0,0.0
71,New Caledonia,60385.0,312.0,60011.0,62.0,9.0,207954.0,1074.0,98964.0,340812.0,Australia/Oceania,290377.0,5.0,931.0,3.0
72,Belize,57331.0,672.0,56473.0,186.0,6.0,139676.0,1637.0,529581.0,1290223.0,North America,410457.0,7.0,611.0,1.0
73,Syria,55756.0,3148.0,51893.0,715.0,293.0128205128205,3054.0,172.0,146269.0,8012.0,Asia,18256030.0,327.0,5799.0,125.0
74,Bhutan,47187.0,14.0,37034.0,10139.0,7.0,59980.0,18.0,2203246.0,2800575.0,Asia,786712.0,17.0,56194.0,0.0
75,Curaçao,41153.0,270.0,40306.0,577.0,3.0,248981.0,1634.0,494095.0,2989334.0,North America,165286.0,4.0,612.0,0.0
76,Andorra,40709.0,153.0,39999.0,557.0,14.0,525379.0,1975.0,249838.0,3224340.0,Europe,77485.0,2.0,506.0,0.0
77,Mauritius,37210.0,985.0,35090.0,1135.0,293.0128205128205,29172.0,772.0,358675.0,281199.0,Africa,1275520.0,34.0,1295.0,4.0
78,Togo,36957.0,272.0,36659.0,26.0,293.0128205128205,4286.0,32.0,723005.0,83841.0,Africa,8623488.0,233.0,31704.0,12.0
79,Faeroe Islands,34658.0,28.0,7693.0,26937.0,5.0,704531.0,569.0,778000.0,15815258.0,Europe,49193.0,1.0,1757.0,0.0
80,Tanzania,33851.0,803.0,2569389.7672955976,89703.6289308176,7.0,539.0,13.0,32960.59567901235,2131213.886792453,Africa,62756770.0,1854.0,78153.0,9.40566037735849
81,Lesotho,32910.0,697.0,24155.0,8058.0,293.0128205128205,15149.0,321.0,431221.0,198496.0,Africa,2172441.0,66.0,3117.0,5.0
