Country,Total Cases,Total Death,Total Recovered,Active Cases,Serious Critical,Tot cases/1M pop,Deaths/1M pop,Total tests,Tests/ 1M pop,region,population,1 Case every X ppl,1 death every X ppl,1 Test every X ppl
Martinique,147519.0,918.0,104.0,146497.0,8.0,393649.0,2450.0,828928.0,2211961.0,North America,374748.0,3.0,408.0,0.0
Guadeloupe,140130.0,854.0,2250.0,137026.0,19.0,350110.0,2134.0,938039.0,2343656.0,North America,400246.0,3.0,469.0,0.0
Cambodia,135998.0,3055.0,132689.0,254.0,,7939.0,178.0,2939061.0,171571.0,Asia,17130265.0,126.0,5607.0,6.0
Jamaica,129108.0,2919.0,82176.0,44013.0,,43265.0,978.0,957157.0,320747.0,North America,2984146.0,23.0,1022.0,3.0
Angola,99194.0,1900.0,97149.0,145.0,,2860.0,55.0,1499795.0,43244.0,Africa,34682277.0,350.0,18254.0,23.0
DRC,86748.0,1337.0,50930.0,34481.0,,919.0,14.0,846704.0,8970.0,Africa,94398074.0,1088.0,70604.0,111.0
Malawi,85713.0,2628.0,81889.0,1196.0,67.0,4284.0,131.0,567431.0,28360.0,Africa,20008204.0,233.0,7613.0,35.0
French Guiana,79529.0,394.0,11254.0,67881.0,4.0,254545.0,1261.0,613484.0,1963551.0,South America,312436.0,4.0,793.0,1.0
French Polynesia,72596.0,648.0,,,7.0,255804.0,2283.0,,,Australia/Oceania,283795.0,4.0,438.0,
Eswatini,70048.0,1395.0,68567.0,86.0,11.0,59286.0,1181.0,1008368.0,853451.0,Africa,1181519.0,17.0,847.0,1.0
Madagascar,64089.0,1390.0,59355.0,3344.0,14.0,2213.0,48.0,415532.0,14351.0,Africa,28955799.0,452.0,20832.0,70.0
Barbados,62968.0,379.0,59521.0,3068.0,,218638.0,1316.0,626701.0,2176038.0,North America,288001.0,5.0,760.0,0.0
New Caledonia,60385.0,312.0,60011.0,62.0,9.0,207954.0,1074.0,98964.0,340812.0,Australia/Oceania,290377.0,5.0,931.0,3.0
Belize,57331.0,672.0,56473.0,186.0,6.0,139676.0,1637.0,529581.0,1290223.0,North America,410457.0,7.0,611.0,1.0
Syria,55756.0,3148.0,51893.0,715.0,,3054.0,172.0,146269.0,8012.0,Asia,18256030.0,327.0,5799.0,125.0
Bhutan,47187.0,14.0,37034.0,10139.0,7.0,59980.0,18.0,2203246.0,2800575.0,Asia,786712.0,17.0,56194.0,0.0
Curaçao,41153.0,270.0,40306.0,577.0,3.0,248981.0,1634.0,494095.0,2989334.0,North America,165286.0,4.0,612.0,0.0
Andorra,40709.0,153.0,39999.0,557.0,14.0,525379.0,1975.0,249838.0,3224340.0,Europe,77485.0,2.0,506.0,0.0
Mauritius,37210.0,985.0,35090.0,1135.0,,29172.0,772.0,358675.0,281199.0,Africa,1275520.0,34.0,1295.0,4.0
Togo,36957.0,272.0,36659.0,26.0,,4286.0,32.0,723005.0,83841.0,Africa,8623488.0,233.0,31704.0,12.0
Faeroe Islands,34658.0,28.0,7693.0,26937.0,5.0,704531.0,569.0,778000.0,15815258.0,Europe,49193.0,1.0,1757.0,0.0
