,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious,Total Cases/1M pop,Death/1M pop,Total tests,Tests/ 1M pop,Population,Region
279,North Macedonia,"311,199",+86,"9,297 ",+1,"301,361",+86,541,,"149,384","4,463","2,040,024","979,268","2,083,213 ",Europe
280,Albania,"275,864",+26,"3,497 ",,"272,125",+34,242,2,"96,057","1,218","1,822,887","634,739","2,871,868 ",Europe
281,Nigeria,"255,937",,"3,143 ",,"249,996",,"2,798",11,"1,186",15,"5,152,011","23,877","215,777,439 ",Africa
282,Luxembourg,"244,182",,"1,073 ",,"235,939",,"7,170",,"378,463","1,663","4,248,188","6,584,368","645,193 ",Europe
283,Montenegro,"236,721",+33,"2,719 ",,"233,362",+65,640,6,"376,815","4,328","2,470,106","3,931,937","628,216 ",Europe
284,China,"223,145",+169,"5,222 ",+3,"213,518",+476,"4,405",200,155,4,"160,000,000","111,163","1,439,323,776 ",Asia
285,Kyrgyzstan,"200,993",,"2,991 ",,"196,406",,"1,596",131,"29,877",445,"1,907,195","283,501","6,727,287 ",Asia
286,Afghanistan,"179,716",+42,"7,698 ",+1,"162,741",+108,"9,277","1,124","4,428",190,"958,454","23,618","40,582,247 ",Asia
287,Namibia,"164,850",+273,"4,032 ",+1,"157,815","+4,153","3,003",,"62,735","1,534","1,029,765","391,885","2,627,723 ",Africa
288,El Salvador,"162,089",,"4,130 ",,"150,662",,"7,297",8,"24,754",631,"1,950,448","297,871","6,547,961 ",North America
289,Trinidad and Tobago,"158,225",+345,"3,893 ",+3,"144,803",,"9,529",18,"112,373","2,765","736,152","522,821","1,408,039 ",North America
290,Brunei ,"146,506",+191,221 ,,"144,672",+285,"1,613",,"328,943",496,"717,784","1,611,607","445,384 ",Asia
291,Cambodia,"136,262",,"3,056 ",,"133,201",,5,,"7,943",178,"2,964,585","172,806","17,155,558 ",Asia
292,Rwanda,"129,978",+7,"1,459 ",,"45,522",,"82,997",,"9,587",108,"5,386,505","397,297","13,557,875 ",Africa
293,Angola,"99,194",,"1,900 ",,"97,149",,145,,"2,851",55,"1,499,795","43,104","34,794,535 ",Africa
294,DRC,"87,633",,"1,338 ",,"50,930",,"35,365",,925,14,"846,704","8,941","94,696,994 ",Africa
295,Malawi,"85,929",,"2,638 ",,"82,799",,492,67,"4,283",131,"581,024","28,961","20,062,407 ",Africa
296,Ivory Coast,"82,044",,799 ,,"81,213",,32,,"2,971",29,"1,513,880","54,830","27,610,458 ",Africa
297,Barbados,"78,919",+187,440 ,+3,"74,197",+110,"4,282",,"273,987","1,528","679,628","2,359,500","288,039 ",North America
298,French Polynesia,"72,858",,649 ,,N/A,N/A,N/A,7,"256,568","2,285",,,"283,972 ",Australia/Oceania
299,Fiji,"64,895",+15,862 ,,"62,931",,"1,102",,"71,415",949,"520,908","573,243","908,703 ",Australia/Oceania
300,Guyana,"64,276",+48,"1,231 ",,"62,456",+1,589,,"80,981","1,551","620,143","781,318","793,714 ",South America
301,New Caledonia,"61,514",,312 ,,"60,620",,582,9,"211,623","1,073","98,964","340,460","290,677 ",Australia/Oceania
302,Mauritania,"59,025",+22,982 ,,"57,776",+14,267,,"12,095",201,"824,558","168,960","4,880,196 ",Africa
303,Cabo Verde,"56,172",+5,401 ,,"55,669",+6,102,23,"99,002",707,"400,982","706,723","567,382 ",Africa
304,Gabon,"47,622",,304 ,,"47,303",,15,,"20,484",131,"1,595,381","686,243","2,324,806 ",Africa
305,Seychelles,"43,729",,167 ,,"43,040",,522,,"439,505","1,678",,,"99,496 ",Africa
306,Andorra,"42,572",,153 ,,"41,757",,662,14,"549,330","1,974","249,838","3,223,799","77,498 ",Europe
307,Mauritius,"37,969",+14,996 ,,"36,289",,684,,"29,762",781,"358,675","281,148","1,275,750 ",Africa
308,Togo,"37,046",+2,273 ,,"36,747",+3,26,,"4,285",32,"738,130","85,385","8,644,750 ",Africa
309,Aruba,"36,316",,213 ,,"35,808",,295,,"337,443","1,979","177,885","1,652,884","107,621 ",North America
310,Faeroe Islands,"34,658",,28 ,,N/A,N/A,N/A,5,"704,245",569,"778,000","15,808,831","49,213 ",Europe
311,Lesotho,"32,910",,697 ,,"24,155",,"8,058",,"15,136",321,"431,221","198,327","2,174,295 ",Africa
312,Haiti,"30,746",,835 ,,"29,651",,260,,"2,636",72,"132,422","11,352","11,664,819 ",North America
313,Benin,"26,952",,163 ,,"25,506",,"1,283",5,"2,119",13,"604,310","47,501","12,722,176 ",Africa
314,Saint Lucia,"24,957",+84,370 ,+2,"23,758",+107,829,1,"134,749","1,998","143,281","773,610","185,211 ",North America
315,Congo,"24,079",,385 ,,"20,178",,"3,516",,"4,170",67,"347,815","60,235","5,774,299 ",Africa
316,Burkina Faso,"20,853",,382 ,,"20,439",,32,,949,17,"248,995","11,326","21,984,443 ",Africa
317,Gibraltar,"18,273",,102 ,,"16,579",,"1,592",,"542,676","3,029","534,283","15,867,278","33,672 ",Europe
318,South Sudan,"17,573",,138 ,,"13,514",,"3,921",1,"1,536",12,"395,064","34,529","11,441,362 ",Africa
319,Tajikistan,"17,388",,124 ,,"17,264",,0,,"1,749",12,,,"9,941,774 ",Asia
320,San Marino,"16,991",,115 ,,"16,680",,196,4,"498,767","3,376","152,231","4,468,708","34,066 ",Europe
321,Djibouti,"15,631",,189 ,,"15,427",,15,,"15,398",186,"305,941","301,387","1,015,110 ",Africa
322,Bermuda,"14,442",,137 ,,"13,945",,360,,"233,523","2,215","903,163","14,603,890","61,844 ",North America
323,Samoa,"12,382",,25 ,,"1,605",,"10,752",4,"61,632",124,"98,999","492,773","200,902 ",Australia/Oceania
324,Gambia,"11,999",,365 ,,"11,591",,43,,"4,715",143,"155,686","61,180","2,544,730 ",Africa
325,Yemen,"11,819",,"2,149 ",,"9,042",+33,628,23,380,69,"265,253","8,539","31,065,205 ",Asia
326,Saint Martin,"10,602",,63 ,,"1,399",,"9,140",7,"265,648","1,579","112,382","2,815,886","39,910 ",North America
327,Caribbean Netherlands,"9,986",,35 ,,"9,886",,65,,"374,246","1,312","30,126","1,129,033","26,683 ",North America
328,Niger,"9,031",,310 ,,"8,628",,93,1,349,12,"254,538","9,843","25,859,150 ",Africa
329,Guinea-Bissau,"8,246",,171 ,,"8,029",,46,6,"4,011",83,"137,803","67,033","2,055,746 ",Africa
330,Antigua and Barbuda,"7,942",,138 ,,"7,623",,181,1,"79,852","1,388","18,901","190,038","99,459 ",North America
331,Liberia,"7,455",,294 ,,"5,747",,"1,414",2,"1,411",56,"139,824","26,472","5,281,930 ",Africa
332,St. Vincent Grenadines,"6,848",+5,106 ,,"6,641",,101,,"61,359",950,"99,409","890,722","111,605 ",North America
333,Turks and Caicos,"6,097",,36 ,,"6,026",,35,4,"153,557",907,"512,050","12,896,361","39,705 ",North America
334,Saint Kitts and Nevis,"5,669",,43 ,,"5,570",,56,,"105,159",798,"70,707","1,311,599","53,909 ",North America
335,Palau,"4,967",,6 ,,"4,240",,721,1,"272,060",329,"51,089","2,798,324","18,257 ",Australia/Oceania
336,Anguilla,"3,116",,9 ,,"3,042",,65,4,"204,248",590,"51,382","3,367,986","15,256 ",North America
337,Saint Pierre Miquelon,"2,748",,1 ,,"2,449",,298,1,"478,662",174,"23,787","4,143,355","5,741 ",North America
338,Montserrat,915,,4 ,,749,,162,,"183,073",800,"12,010","2,402,961","4,998 ",North America
339,Diamond Princess,712,,13 ,,699,,0,,,,,, ,
340,Macao,82,, ,,82,,0,,123,,"5,375","8,070","666,037 ",Asia
341,Marshall Islands,17,, ,,14,,3,,284,,,,"59,944 ",Australia/Oceania
342,MS Zaandam,9,,2 ,,7,,0,,,,,, ,
343,Nauru,8,, ,,5,,3,,730,,,,"10,952 ",Australia/Oceania
344,Saint Helena,2,, ,,2,,0,,327,,,,"6,111 ",Africa
